target	level	status	detail
epoll/4.2.12.Final/aarch64/glibc	A	PASS	loaded libnetty_transport_native_epoll_aarch_64.so
epoll/4.2.17.Final/aarch64/glibc	A	PASS	loaded libnetty_transport_native_epoll_aarch_64.so
tcnative/2.0.65.Final/aarch64/glibc	A	PASS	loaded libnetty_tcnative_linux_aarch_64.so
tcnative/2.0.73.Final/aarch64/glibc	A	PASS	loaded libnetty_tcnative_linux_aarch_64.so
tcnative/2.0.75.Final/aarch64/glibc	A	PASS	loaded libnetty_tcnative_linux_aarch_64.so
tcnative/2.0.81.Final/aarch64/glibc	A	PASS	loaded libnetty_tcnative_linux_aarch_64.so
asyncProfiler/4.1/aarch64/glibc	A	PASS	loaded libasyncProfiler-aarch_64.so
epoll/4.2.12.Final/aarch64/glibc	B-epoll	PASS	Epoll.isAvailable()=true
epoll/4.2.17.Final/aarch64/glibc	B-epoll	PASS	Epoll.isAvailable()=true
tcnative/2.0.65.Final/aarch64/glibc	B-openssl	PASS	OpenSsl.isAvailable()=true BoringSSL
tcnative/2.0.73.Final/aarch64/glibc	B-openssl	PASS	OpenSsl.isAvailable()=true BoringSSL
tcnative/2.0.75.Final/aarch64/glibc	B-openssl	PASS	OpenSsl.isAvailable()=true BoringSSL
tcnative/2.0.81.Final/aarch64/glibc	B-openssl	PASS	OpenSsl.isAvailable()=true BoringSSL
